what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1456339225791
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.redo,1456339231370
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.redo,1456339232135
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1456339283740
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456339283865
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456339290459
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1456339292490
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1456339292725
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1456339293069
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1456339293303
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1456339293912
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1456339294475
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1456339297116
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1456339308944
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1456339311757
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1456339325501
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456339325642
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456339338158
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456339338908
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456339344549
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1456339355925
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456339356831
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456339382014
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1456339397420
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1456339400077
