what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457275166442
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1457275168440
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457275170216
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457275171387
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457275180296
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1457275180312
activated,editor,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1457275185922
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457275187172
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457275189985
opened,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1457275190094
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1457275190157
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1457275190157
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457275197938
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457275201538
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1457275202225
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1457275205647
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1457275206304
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1457275207898
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1457275208085
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457275222367
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457275265242
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1457275271944
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1457275279147
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457275283960
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457275286783
