what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.http.servlet,1.0.100.v20080427-0830,org.eclipse.equinox.http.servlet,1230097956298
started,bundle,org.eclipse.equinox.http.registry,1.0.100.v20080427-0830,org.eclipse.equinox.http.registry,1230097956478
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1230097956538
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1230097957590
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1230097957680
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.0.v20080427-0830,org.eclipse.equinox.jsp.jasper.registry,1230097963258
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.100.v20080427-0830,org.eclipse.equinox.jsp.jasper,1230097963318
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1230097969357
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230097969407
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230097969447
started,bundle,org.eclipse.xsd,2.4.1.v200808251517,org.eclipse.xsd,1230097969527
started,bundle,org.eclipse.wst.ws.parser,1.0.202.v200805140300,org.eclipse.wst.ws.parser,1230097970428
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1230097974975
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1230097975195
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1230097991489
closed,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1230097991499
started,bundle,org.eclipse.wst.common.project.facet.ui,1.3.2.v200809022055,org.eclipse.wst.common.project.facet.ui,1230098010256
started,bundle,org.eclipse.wst.web.ui,1.1.200.v200805281530,org.eclipse.wst.web.ui,1230098010266
started,bundle,org.eclipse.jst.ejb.ui,1.1.202.v200809040612,org.eclipse.jst.ejb.ui,1230098010366
started,bundle,org.eclipse.jst.j2ee.web,1.1.201.v200807290757,org.eclipse.jst.j2ee.web,1230098010406
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1230098010656
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.202.v200809040612,org.eclipse.jst.j2ee.ejb,1230098017566
started,bundle,org.eclipse.jst.common.frameworks,1.1.200.v200805140020,org.eclipse.jst.common.frameworks,1230098017576
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.200.v200805221400,org.eclipse.wst.common.frameworks.ui,1230098017877
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230098018417
