what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1456337882554
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1456337889519
opened,editor,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.editor,1456337916036
activated,editor,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.editor,1456337916052
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456337924536
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456337968524
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456337971962
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338006966
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338015966
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338072834
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456338075897
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338088866
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338126526
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338142292
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338439334
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338459397
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338600618
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1456338604556
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338616884
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338620134
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1456338623744
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338624056
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338626166
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1456338630447
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456338630760
