what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1457270591382
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1457270591443
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1457270591477
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1457270591499
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457270595623
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457270601680
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1457270602025
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1457270602397
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1457270602398
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1457270615511
opened,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.TypeHierarchy,1457270622826
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.TypeHierarchy,1457270622976
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy,1457270623648
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1457270626443
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457270628568
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457270636080
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457270639089
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457270644615
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1457270644956
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1457270645273
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1457270645275
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1457270648098
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457270659999
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457270665496
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1457270665843
