what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647569098
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647572895
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647623841
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647624466
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647638763
opened,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456647660582
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456647660629
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1456647692271
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647695849
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647704865
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647705912
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647721854
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456647782471
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1456647783065
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456647793988
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456647799941
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647803613
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456647816426
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1456647816816
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1456647816863
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456647823239
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,org.eclipse.wst.internet.cache,1456647823489
opened,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456647823739
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456647823801
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1456647824739
