what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1457727956851
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457727980143
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457727982196
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.cleanAction,1457727982212
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457727982527
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457727985605
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1457727989407
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.200.v200805221400,org.eclipse.wst.common.frameworks.ui,1457727990445
started,bundle,org.eclipse.wst.ws.service.policy,1.0.2.v200809101532,org.eclipse.wst.ws.service.policy,1457727995355
started,bundle,org.eclipse.wst.command.env,1.0.306.v200807231700,org.eclipse.wst.command.env,1457727995528
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1457727995529
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1457727997105
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1457728000839
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457728001248
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457728001373
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457728003586
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.run,1457728009882
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1457728010694
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1457728019618
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1457728019633
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457728024903
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457728028208
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457728055007
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1457728055015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457728224480
