what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457728905410
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457728909645
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.stop,1457728912489
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1457728915472
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457728915988
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457728916808
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457728916824
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457728923456
stopped,bundle,net.sf.jadclipse,3.3.0,net.sf.jadclipse,1457728924237
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1457728924456
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1457728924597
