what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457203464606
opened,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1457203465137
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1457203465372
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1457203465372
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457203484136
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.stop,1457203495123
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1457203496969
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457203498249
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457203501494
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457203503102
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1457203507002
started,bundle,org.eclipse.wst.ws.service.policy,1.0.2.v200809101532,org.eclipse.wst.ws.service.policy,1457203508706
started,bundle,org.eclipse.wst.command.env,1.0.306.v200807231700,org.eclipse.wst.command.env,1457203508940
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1457203508940
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1457203511198
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1457203522999
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457203523420
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457203523577
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,org.eclipse.wst.internet.cache,1457203525365
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457203529055
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457203531234
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.cleanAction,1457203531281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457203531609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457203531703
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457203536389
