what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168038210
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168038444
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1457168041425
opened,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1457168042159
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1457168042206
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1457168044628
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1457168044769
opened,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1457168045503
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1457168045597
activated,editor,org.eclipse.wst.html.ui,1.0.301.v200809120137,org.eclipse.wst.html.core.htmlsource.source,1457168063771
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1457168064896
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168077381
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168078225
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168078881
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168242508
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168242852
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168243680
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168243977
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168605624
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168605843
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1457168606858
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1457168606905
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1457168607014
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1457168607155
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457168607358
