what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457274501121
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.stop,1457274503996
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1457274504427
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1457274505472
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457274508738
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457274511894
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457274521238
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457274522410
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1457274525223
stopped,bundle,net.sf.jadclipse,3.3.0,net.sf.jadclipse,1457274525519
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1457274525519
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1457274525535
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1457274525551
