what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456648466140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456648727235
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456648746817
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456648783671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456648784343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456648821163
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456648837187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456648927172
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456648929406
executed,command,,,AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction,1456648930063
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456649019777
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456649020981
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456649023653
opened,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456649024403
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1456649024481
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1456649037762
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1456649045347
executed,command,,,AUTOGEN:::org.eclipse.jst.jsp.core.jspsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction,1456649045347
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1456649060629
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1456649082474
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1456649096287
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456649096771
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1456649132620
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1456649134558
started,bundle,org.eclipse.wst.ws.service.policy,1.0.2.v200809101532,org.eclipse.wst.ws.service.policy,1456649135808
