what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230098041170
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230098051545
started,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20080604,org.eclipse.team.cvs.ssh2,1230098141434
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230098192608
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1230098192638
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1230098194731
opened,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1230098196744
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1230098196784
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230098200690
started,bundle,org.eclipse.wst.server.preview.adapter,1.0.101.v20080730,org.eclipse.wst.server.preview.adapter,1230098201300
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230098223943
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230098241809
started,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1230098244953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230098251252
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1230098252264
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230098259414
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1230098291640
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1230098293603
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1230098314333
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1230098314363
started,bundle,org.eclipse.datatools.connectivity,1.1.1.v200809180120,org.eclipse.datatools.connectivity,1230098317327
started,bundle,org.eclipse.datatools.connectivity.ui,1.1.2.v200809150616,org.eclipse.datatools.connectivity.ui,1230098317367
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.ui.dse,1230098317407
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,1230098318329
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.1.v200807230727,org.eclipse.datatools.connectivity.DataSourceExplorerNavigator,1230098318389
